"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT07","WT08"
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-01","4.03",,"0.00","0.0","0.0","54","63","47","  130","  130","13.0","19.0",,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-02","2.91",,"0.00","0.0","0.0","55","66","45","   80","   50","10.1","15.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-03","6.71",,"0.01","0.0","0.0","55","64","45","  300","  310","33.1","45.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-04","6.71",,"0.00","0.0","0.0","53","60","45","  220","  270","16.1","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-05","2.91",,"0.00","0.0","0.0","51","58","42","  300","  330","10.1","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-06","4.47",,"0.00","0.0","0.0","50","62","40","  190","  130","10.1","14.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-07","10.51",,"0.01","0.0","0.0","51","54","43","  270","  280","29.1","38.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-08","5.82",,"0.00","0.0","0.0","45","54","37","  290","  300","15.0","18.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-09","3.36",,"0.00","0.0","0.0","45","56","35","  240","   10","8.1","12.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-10","4.47",,"0.00","0.0","0.0","47","60","37","  110","  120","12.1","14.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-11","12.30",,"0.01","0.0","0.0","49","58","39","  280","  290","25.9","55.0",,"    1",,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-12","4.03",,"0.00","0.0","0.0","47","58","36","   90","  320","13.0","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-13","2.68",,"0.00","0.0","0.0","48","62","37","   80","   90","8.9","10.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-14","4.92",,"0.00","0.0","0.0","53","67","41","  270","  330","10.1","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-15","3.13",,"0.00","0.0","0.0","54","68","42","   80","  170","8.1","11.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-16","2.46",,"0.00","0.0","0.0","56","70","44","   90","   90","10.1","12.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-17","5.14",,"0.00","0.0","0.0","56","68","45","  100","  360","10.1","14.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-18","2.46",,"0.00","0.0","0.0","58","76","45","   90","   90","8.1","12.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-19","3.58",,"0.00","0.0","0.0","62","77","50","   80","   80","10.1","13.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-20","5.59",,"0.00","0.0","0.0","61","68","52","  160","  170","13.0","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-21","3.80",,"0.03","0.0","0.0","59","63","53","   50","  160","8.9","14.1","    1",,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-22","5.82",,"0.26","0.0","0.0","55","64","50","   90","   90","15.0","19.0","    1",,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-23","6.49",,"0.41","0.0","0.0","56","61","54","   90","   80","15.0","19.0","    1","    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-24","2.24",,"0.00","0.0","0.0","56","63","53","  320","  350","8.1","17.0","    1",,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-25","6.04",,"0.00","0.0","0.0","57","66","51","  290","  290","14.1","19.0","    1",,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-26","4.70",,"0.00","0.0","0.0","57","69","47","  280","  260","13.0","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-27","6.71",,"0.00","0.0","0.0","59","74","47","   50","   70","19.9","27.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-28","8.95",,"0.00","0.0","0.0","66","78","53","   80","   70","21.9","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-29","3.80",,"0.00","0.0","0.0","66","81","54","   80","   80","17.0","21.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-30","3.58",,"0.00","0.0","0.0","67","81","54","  110","   90","13.0","16.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-01-31","5.14",,"0.00","0.0","0.0","67","81","56","  120","  120","12.1","18.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-01","12.30",,"0.38","0.0","0.0","69","81","55","  280","  270","29.1","36.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-02","10.96",,"0.21","0.0","0.0","59","63","52","  270","  250","25.1","32.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-03","4.70",,"0.00","0.0","0.0","55","64","46","  280","  230","15.0","18.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-04","5.82",,"0.00","0.0","0.0","56","70","49","  100","  100","13.0","15.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-05","7.16",,"0.00","0.0","0.0","61","75","53","  100","  100","14.1","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-06","9.62",,"0.22","0.0","0.0","64","66","50","  180","  190","28.0","46.1","    1","    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-07","8.50",,"0.12","0.0","0.0","54","62","49","  300","  290","21.0","25.9","    1",,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-08","10.51",,"0.22","0.0","0.0","52","58","43","  250","  230","33.1","45.0","    1",,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-09","3.58",,"0.00","0.0","0.0","47","60","40","   90","  130","10.1","15.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-10","7.61",,"0.17","0.0","0.0","51","59","45","  270","  270","21.9","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-11","3.80",,"0.00","0.0","0.0","49","62","40","   90","  320","10.1","14.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-12","3.80",,"0.00","0.0","0.0","53","67","42","   60","   30","12.1","17.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-13","4.70",,"0.00","0.0","0.0","56","71","45","  260","  270","10.1","14.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-14","3.80",,"0.00","0.0","0.0","58","71","46","   90","  180","8.9","13.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2024-02-15","5.59",,"0.00","0.0","0.0","59","74","48","   90","  290","10.1","17.0",,,,
